,State_Name,District_Name,Crop
2661,Andhra Pradesh,GUNTUR,Tobacco
178069,Tamil Nadu,COIMBATORE,Wheat
100097,Kerala,KOTTAYAM,Cowpea(Lobia)
68086,Haryana,KAITHAL,Jowar
175965,Rajasthan,SIROHI,Banana
101603,Kerala,THIRUVANANTHAPURAM,Sugarcane
176136,Rajasthan,TONK,Arhar/Tur
175468,Rajasthan,SIKAR,Tobacco
101021,Kerala,PALAKKAD,Jack Fruit
101358,Kerala,PATHANAMTHITTA,Cowpea(Lobia)
48401,Chhattisgarh,DANTEWADA,Other  Rabi pulses
233589,Uttarakhand,HARIDWAR,Garlic
48670,Chhattisgarh,DHAMTARI,Castor seed
144192,Nagaland,MOKOKCHUNG,Rice
124223,Madhya Pradesh,UJJAIN,Sannhamp
57608,Gujarat,AMRELI,Moth
124666,Madhya Pradesh,UMARIA,Moong(Green Gram)
6266,Andhra Pradesh,PRAKASAM,Sannhamp
229599,Uttar Pradesh,SITAPUR,Moong(Green Gram)
123769,Madhya Pradesh,TIKAMGARH,Banana
57885,Gujarat,ANAND,Moth
47926,Chhattisgarh,BILASPUR,Sunflower
124759,Madhya Pradesh,VIDISHA,Sesamum
229667,Uttar Pradesh,SONBHADRA,Urad
150198,Odisha,DEOGARH,Ragi
50261,Chhattisgarh,JANJGIR-CHAMPA,Sunflower
126458,Maharashtra,AURANGABAD,Castor seed
233058,Uttarakhand,DEHRADUN,Linseed
126437,Maharashtra,AMRAVATI,Sunflower
56616,Chhattisgarh,SURGUJA,Jute
7971,Andhra Pradesh,VISAKHAPATANAM,other oilseeds
126038,Maharashtra,AKOLA,Sunflower
50383,Chhattisgarh,JASHPUR,Moong(Green Gram)
50900,Chhattisgarh,KABIRDHAM,Moong(Green Gram)
49078,Chhattisgarh,DURG,Tobacco
125234,Maharashtra,AHMEDNAGAR,Rapeseed &Mustard
57094,Goa,SOUTH GOA,Groundnut
142426,Mizoram,KOLASIB,Sugarcane
